,Date,Tweet,sentiment_score
56271,2022-09-13,@GS_CapSF He recommended AAPL yesterday too,
56272,2022-09-13,"While the iPhone prices in the US stayed the same, the price hikes $AAPL did in Europe are just wild. 15-20%+. Looks like they chose to have customers to absorb the whole FX hit &amp; more, despite their European cost base declining, relatively. May be terrible for demand... 😬",
56273,2022-09-13,$AAPL is down over 6% today,
56274,2022-09-13,$AAPL Apple's Income Statement. https://t.co/i7L2Si9Yjm,
56275,2022-09-13,Apple $AAPL is now down 6% on the day 🍎🍎🍎🍎🍎🍎 https://t.co/9oqZ2lWvkO,
56276,2022-09-13,"AAPL: one day after biggest gain since May, stock has biggest drop since... May

channel checks were just a little off",
56277,2022-09-13,Just bought $AAPL at $155.05. Rarely is Apple down 5% in a day.,
56278,2022-09-13,"$AAPL stock up 4% yesterday and down 5% today 

Normal market , nothing to see here, melt up is in progress",
56279,2022-09-13,"You don't realize it but you own $AAPL. 
It leads the market. 
And it's going lower.",
56280,2022-09-13,"$AAPL
This is what I call the “fuck your calls” candle 

When you see 7 out of the top 9 contracts traded being $AAPL calls, that was the sign. It’s never that easy folks https://t.co/O5iZYR9H4g",
56281,2022-09-13,$AAPL is behind the scenes taking steps to diversify away from China production with talk of Foxconn building iPhone chips in India. https://t.co/tWrFFYe949,
56282,2022-09-13,Just a friendly reminder that 10yrs ago you would have been better off buying Strip Club $Rick than $meta $aapl $tcehy So much for “big tech is the future”. PS Rick will out perform all of them in the next 10. https://t.co/xvNMliEyRQ,
56283,2022-09-13,During Tim Cook's tenure #Apple sales have more than tripled &amp; the company's share price is up more than 10x. $AAPL,
56284,2022-09-13,$aapl down today 4% after investors realize there is still no USB C in #iPhone14 https://t.co/VNVH8XCJnU,
56285,2022-09-13,"$SPY $QQQ $AAPL $AMZN $TSLA I saw the sell setting up took some size smash the like button if you banked on this setup. Gave you the bull setup at $390 and bear at $411 in a span of 7 days, can't get any much better than this. https://t.co/ngp430edru",
56286,2022-09-13,P profile strikes again 😜 $aapl $vix https://t.co/6vSTfrbBFY,
56287,2022-09-13,"Biggest winner in the biotech sector today, $SBOX rose as much as 30.43% after announcing its 5th patent in its pipeline. 
#biotech #ClimateCrisis #stockalerts #StocksToBuy #StocksInFocus #TSLA #AAPL #NBIO #GSDT #otc #StockMarket #PinkSheet",
56288,2022-09-13,"Market Recap:
https://t.co/vzVIoW64De
Retail investors go all in buying calls + Adobe data shows inflation went higher in August + It's all about the Dollar and yields + The importance of open interest + Charts $SPY $QQQ $IWM $DXY $GLD $TLT $VIX $AAPL $TSLA $BTC $COIN https://t.co/KAMdL3cjAr",
56289,2022-09-13,"🚨 $AAPL reiterated with Outperform rating at Wedbush, Inc., price target set at $220",
56290,2022-09-13,"$AAPL reiterated with Outperform rating at Wedbush, Inc., price target set at $220",
56291,2022-09-13,"Trade plan for Tuesday ✅

Inflation data premarket tmrw. If there's a positive reaction $SPX can move to 4132,4167. Calls can work above 4100

$AAPL setting up for 170 if it closes above 165 by Wed

$TSLA possible to see 314 if it holds 300 this week. Calls can work above 300",
