,Date,Tweet,sentiment_score
13751,2022-04-26,Total paper loss of $1.3 million on my $TSLA shares today!,
13752,2022-04-26,"Back in the days, when Tesla was struggling, especially during the Model 3 ramp, Tesla stock would sell off like today, but much harder. 📉

What did/do you guys do during times like this?💡 

Me: I concentrate my positions, buy the dip, listen to music &amp; workout a lot. 

$TSLA",
13753,2022-04-26,"I need my rent $ to come asap, so I can buy some $TSLA. 🔥",
13754,2022-04-26,@WholeMarsBlog I’m totally buying $tsla,
13755,2022-04-26,For those who can’t see behind the Barron’s paywall. $tsla $twtr @elonmusk https://t.co/OXxgSm0Pgo,
13756,2022-04-26,"$TSLA and $TWTR stocks now inexorably linked. @elonmusk
 https://t.co/8AIiBrHNLZ",
13757,2022-04-26,$TSLA into close broke below 887 which was a key level I gave a month ago or so. It was extremely important because it confirmed that $TSLA's bounce from 697 on Feb 24 was corrective and therefore we should expect to break below that low. Now the 600s are a realistic target🤝 https://t.co/DnCGLT15YJ,
13758,2022-04-26,"I actually want Elon to leverage his shares as much as he can, in order to buy Twitter. 

It would incentivize him to keep $TSLA high. 

Plus selling before 1/a stock split, 2/ investment grade upgrade, and 3/ massive scaling in Q3, Q4 would be quite dumb.",
13759,2022-04-26,Lots of fintwit hate for @BillGates but he crushed that $tsla short didn’t he?,
13760,2022-04-26,"I had 3 Macallan 25 single malt neat (2 shots each), a small snifter of RVW 25 (Don't do this often as it's about 2,000/shot and a beer chaser. To say I'm slightly inebriated is an understatement. I'll be passed out in about 20 min. $TSLA https://t.co/F9bZHFkyxK",
13761,2022-04-26,"Down $2.4M today.  Not feeling sad even a little. 
 Short-term, it's a slot machine.  People panic sell and buy.  Long-term, Tesla is as solid a company as ever.  $TSLA 📈💎🪑💯",
13762,2022-04-26,"Fun fact: @BillGates made $69M on his $TSLA short today.

$TSLAQ",
13763,2022-04-26,The biggest drawdown we have seen on the NYSE FANG+ Index $FB $AAPL $AMZN $NFLX $GOOGL $MSFT $BABA $NVDA $BIDU $TSLA https://t.co/5SvL4S0kCV,
13764,2022-04-26,Just for fun….. @SpaceX / @Tesla starboy 🛸🛸🛸©️⭐️⭐️⭐️©️🔋🔋🔋©️☠️☠️☠️©️🌟🌟🌟©️🚀🚀🚀©️🛰🛰🛰©️ https://t.co/gmG2D4zwjN,
13765,2022-04-26,"$TSLA up .39% after hours 
What news dropped?! 🤩",
13766,2022-04-26,"Hey, look at the bright side. At least $TSLA didn’t miss earnings. Now that would have been something…",
13767,2022-04-26,"There have only been 5 days with over 40 million shares of $TSLA trades this year. 
-3 late January selling panic
-1 Feb 24 start of war 
-and today.

Maybe @elonmusk IS liquidating some. Twice the average volume over the last month.",
13768,2022-04-26,$TSLA gains got me being upper class one tax year and poverty the next.,
13769,2022-04-26,$104K+ Solid day. It was a very busy day. There were soooo many plays in the small cap. I didn't expect this. Actively traded both long &amp; short today. Mainly traded $tsla $nutx $sbfm $evok $nktx Not posting the whole P&amp;L. I got two overnight/possible swing positions. https://t.co/niSIpWIvYV,
13770,2022-04-26,"My updated $TSLA price targets after Q1 '22 earnings and guidance:
$5,366 by 2025
$26,588 by 2030
$44,896 by 2035

Breakdown by year in below chart @sbink https://t.co/qrJQNnpzDm",
13771,2022-04-26,"My recent bearish calls ..

$GOOG 2600 to 2200

$MSFT 300 to 260

$AAPL 171 to 155

$TSLA 1100 to 860 

$PLTR 13 to 10 dollar",
13772,2022-04-26,@elonmusk needs to raise $21B for Twitter deal yet his personal share in $TSLA lost over $22B today. Doesn't take a rocket scientist to figure out that this deal is terrible for Elon and $TSLA shareholders. Markets showed the impact today.,
13773,2022-04-26,"BREAKING: $TWTR deal to be done within 6 months. Either Twitter or Elon can walk with $1B fee. 

Just walk @elonmusk. Pay the Billion. This sh!tty deal costs $TSLA shareholders $140B in valuation (just today). Is it really worth it?",
13774,2022-04-26,"I didn’t retire by age 31 by listening to $TSLAQ fuckboys. 

I retired by going with my research, conviction, product knowledge, understanding and believing Elon, and having a grip of what’s happening inside $TSLA. 

Let me tell you, it’s going fuckin great. 

Ignore the FUD! ❌",
13775,2022-04-26,Going to go drink. See you all tomorrow. $TSLA https://t.co/N8AgqECeNH,
13776,2022-04-26,"Today, April 26, 2022. A day that will go down in infamy. $TSLA stock was suddenly and deliberately attacked by market manipulators of Wall Street.",
13777,2022-04-26,"Tesla, $TSLA, shares fell by more than 12% today, or about a $21 billion paper personal loss for Musk, as per Axios.

This, incidentally, is about same amount he's personally committing to the Twitter, $TWTR, deal.",
13778,2022-04-26,"$TSLA now trades at 75x Q1’22 annualized EPS ($860 / $2.86 GAAP EPS x 4)

That’s w/o factoring in uplift from 2 new GFs (annualized EPS assumes Tesla does not grow Q-o-Q)

Compare the $11.44 in 2022 vs the $4.90 GAAP EPS in 2021 (133% growth)

75x for 133% growth LET THAT SINK IN",
13779,2022-04-26,"FAANG+ drawdowns (including today’s AH)

$AAPL -16%
$MSFT -23%
$AMZN -27%
$GOOGL -27%
$TSLA -31%
$NVDA -47%
$FB -55%
$NFLX -72%",
